iter	Passed	Remaining
1150	276271	443811
1151	276480	443521
1152	276727	443292
1153	276958	443038
1154	277186	442778
1155	277414	442519
1156	277644	442263
1157	277860	441985
1158	278112	441764
1159	278344	441512
1160	278607	441308
1161	278820	441026
1162	279069	440799
1163	279311	440563
1164	279549	440320
1165	279782	440070
1166	280030	439841
1167	280285	439626
1168	280497	439342
1169	280721	439076
1170	280950	438820
1171	281199	438594
1172	281494	438439
1173	281726	438187
1174	281957	437933
1175	282172	437654
1176	282409	437411
1177	282655	437180
1178	282892	436936
1179	283134	436699
1180	283367	436447
1181	283621	436229
1182	283847	435968
1183	284070	435702
1184	284307	435458
1185	284526	435186
1186	284756	434931
1187	285002	434700
1188	285270	434504
1189	285501	434249
1190	285732	433996
1191	285957	433734
1192	286182	433472
1193	286431	433246
1194	286668	433001
1195	286918	432776
1196	287137	432505
1197	287376	432264
1198	287636	432053
1199	287863	431794
1200	288103	431556
1201	288338	431308
1202	288585	431079
1203	288784	430778
1204	289018	430529
1205	289240	430263
1206	289456	429988
1207	289671	429711
1208	289896	429449
1209	290129	429199
1210	290383	428980
1211	290606	428715
1212	290825	428446
1213	291038	428166
1214	291324	427994
1215	291541	427722
1216	291818	427536
1217	292045	427278
1218	292294	427052
1219	292529	426805
1220	292775	426574
1221	292994	426304
1222	293254	426094
1223	293459	425803
1224	293740	425624
1225	293967	425365
1226	294207	425125
1227	294454	424896
1228	294650	424593
1229	294875	424332
1230	295108	424084
1231	295323	423809
1232	295539	423534
1233	295795	423318
1234	296038	423082
1235	296249	422802
1236	296500	422579
1237	296734	422330
1238	296990	422114
1239	297212	421849
1240	297472	421638
1241	297738	421436
1242	297949	421155
1243	298202	420934
1244	298474	420741
1245	298690	420467
1246	298945	420249
1247	299206	420040
1248	299419	419762
1249	299655	419517
1250	299883	419261
1251	300116	419012
1252	300370	418792
1253	300616	418562
1254	300860	418328
1255	301087	418070
1256	301331	417836
1257	301569	417594
1258	301803	417346
1259	302029	417088
1260	302289	416877
1261	302500	416597
1262	302789	416425
1263	303008	416156
1264	303226	415887
1265	303478	415665
1266	303712	415417
1267	303954	415180
1268	304206	414957
1269	304450	414723
1270	304669	414455
1271	304946	414267
1272	305196	414041
1273	305434	413799
1274	305672	413556
1275	305888	413285
1276	306148	413073
1277	306371	412810
1278	306595	412548
1279	306801	412263
1280	307029	412009
1281	307245	411737
1282	307470	411478
1283	307736	411274
1284	307987	411048
1285	308204	410779
1286	308426	410516
1287	308663	410273
1288	308874	409995
1289	309136	409786
1290	309377	409547
1291	309591	409274
1292	309853	409063
1293	310060	408781
1294	310290	408528
1295	310521	408278
1296	310778	408061
1297	311031	407839
1298	311269	407598
1299	311495	407340
1300	311720	407081
1301	311956	406836
1302	312169	406562
1303	312427	406347
1304	312640	406073
1305	312870	405821
1306	313087	405552
1307	313308	405289
1308	313538	405036
1309	313748	404759
1310	314020	404562
1311	314266	404330
1312	314490	404071
1313	314737	403841
1314	314950	403567
1315	315198	403338
1316	315464	403133
1317	315675	402857
1318	315893	402590
1319	316156	402380
1320	316413	402163
1321	316667	401942
1322	316882	401671
1323	317113	401421
1324	317360	401191
1325	317580	400927
1326	317847	400722
1327	318070	400462
1328	318298	400208
1329	318547	399980
1330	318755	399702
1331	319034	399511
1332	319264	399259
1333	319493	399008
1334	319744	398782
1335	319958	398511
1336	320195	398268
1337	320437	398032
1338	320688	397806
1339	320911	397547
1340	321144	397300
1341	321384	397060
1342	321644	396847
1343	321859	396577
1344	322074	396306
1345	322320	396076
1346	322578	395858
1347	322782	395576
1348	323027	395343
1349	323235	395065
1350	323495	394850
1351	323711	394582
1352	323940	394330
1353	324168	394077
1354	324411	393843
1355	324688	393649
1356	324918	393398
1357	325151	393151
1358	325370	392886
1359	325644	392689
1360	325862	392423
1361	326102	392184
1362	326364	391972
1363	326608	391738
1364	326823	391470
1365	327100	391275
1366	327329	391023
1367	327601	390823
1368	327809	390545
1369	328058	390317
1370	328307	390089
1371	328527	389826
1372	328761	389581
1373	329021	389365
1374	329246	389110
1375	329501	388887
1376	329692	388591
1377	329933	388354
1378	330137	388073
1379	330382	387840
1380	330648	387631
1381	330858	387358
1382	331089	387108
1383	331306	386843
1384	331534	386591
1385	331776	386354
1386	332013	386111
1387	332233	385849
1388	332472	385610
1389	332702	385360
1390	332970	385154
1391	333184	384885
1392	333424	384646
1393	333660	384404
1394	333884	384146
1395	334139	383925
1396	334390	383699
1397	334645	383477
1398	334863	383214
1399	335116	382990
1400	335340	382733
1401	335572	382485
1402	335810	382244
1403	336051	382006
1404	336280	381756
1405	336523	381520
1406	336744	381260
1407	336970	381006
1408	337196	380752
1409	337437	380514
1410	337659	380255
1411	337876	379991
1412	338123	379761
1413	338378	379539
1414	338610	379292
1415	338829	379029
1416	339044	378763
1417	339264	378502
1418	339492	378251
1419	339754	378037
1420	340013	377818
1421	340234	377560
1422	340464	377310
1423	340699	377066
1424	340937	376825
1425	341156	376564
1426	341406	376336
1427	341626	376076
1428	341865	375836
1429	342109	375602
1430	342351	375367
1431	342563	375096
1432	342810	374866
1433	343019	374594
1434	343261	374358
1435	343502	374121
1436	343770	373913
1437	344000	373664
1438	344221	373405
1439	344438	373141
1440	344676	372900
1441	344906	372652
1442	345154	372422
1443	345367	372155
1444	345610	371920
1445	345878	371711
1446	346093	371446
1447	346319	371192
1448	346569	370965
1449	346801	370718
1450	347044	370484
1451	347284	370244
1452	347502	369983
1453	347734	369737
1454	347952	369475
1455	348209	369255
1456	348454	369021
1457	348672	368760
1458	348892	368501
1459	349149	368281
1460	349364	368016
1461	349627	367802
1462	349863	367559
1463	350085	367303
1464	350318	367057
1465	350557	366818
1466	350801	366583
1467	351048	366352
1468	351272	366097
1469	351486	365832
1470	351745	365614
1471	351970	365360
1472	352210	365122
1473	352449	364883
1474	352690	364645
1475	352937	364414
1476	353147	364146
1477	353384	363905
1478	353626	363668
1479	353855	363418
1480	354122	363208
1481	354351	362959
1482	354592	362722
1483	354808	362459
1484	355068	362241
1485	355310	362005
1486	355526	361743
1487	355737	361475
1488	355977	361236
1489	356221	361002
1490	356457	360760
1491	356681	360506
1492	356902	360249
1493	357147	360016
1494	357354	359744
1495	357589	359501
1496	357854	359288
1497	358059	359016
1498	358311	358789
1499	358538	358538
1500	358752	358274
1501	358990	358034
1502	359223	357789
1503	359486	357574
1504	359686	357296
1505	359906	357038
1506	360123	356777
1507	360351	356528
1508	360589	356288
1509	360822	356043
1510	361070	355813
1511	361327	355591
1512	361577	355364
1513	361805	355113
1514	362029	354860
1515	362291	354643
1516	362514	354389
1517	362761	354158
1518	363038	353956
1519	363277	353717
1520	363490	353453
1521	363720	353205
1522	363951	352958
1523	364181	352711
1524	364404	352456
1525	364659	352233
1526	364872	351969
1527	365093	351712
1528	365316	351459
1529	365544	351209
1530	365768	350955
1531	366017	350727
1532	366261	350492
1533	366497	350251
1534	366730	350006
1535	366962	349760
1536	367212	349532
1537	367447	349290
1538	367688	349053
1539	367897	348785
1540	368160	348569
1541	368370	348303
1542	368628	348082
1543	368844	347822
1544	369104	347603
1545	369379	347398
1546	369610	347152
1547	369863	346925
1548	370101	346686
1549	370335	346443
1550	370586	346215
1551	370787	345940
1552	371023	345699
1553	371235	345434
1554	371473	345195
1555	371703	344948
1556	371914	344684
1557	372159	344450
1558	372429	344240
1559	372676	344009
1560	372922	343776
1561	373129	343508
1562	373355	343257
1563	373584	343010
1564	373818	342766
1565	374074	342543
1566	374315	342306
1567	374533	342048
1568	374777	341814
1569	374992	341553
1570	375227	341311
1571	375454	341062
1572	375744	340869
1573	375948	340599
1574	376165	340340
1575	376427	340122
1576	376671	339887
1577	376904	339644
1578	377154	339415
1579	377373	339158
1580	377590	338900
1581	377846	338676
1582	378077	338431
1583	378336	338209
1584	378584	337978
1585	378851	337765
1586	379056	337496
1587	379306	337267
1588	379536	337021
1589	379760	336769
1590	380000	336530
1591	380226	336280
1592	380471	336047
1593	380679	335781
1594	380924	335548
1595	381174	335318
1596	381416	335083
1597	381648	334838
1598	381878	334591
1599	382103	334340
1600	382342	334101
1601	382561	333845
1602	382801	333608
1603	383053	333380
1604	383292	333142
1605	383524	332897
1606	383742	332640
1607	383981	332402
1608	384216	332160
1609	384432	331901
1610	384698	331686
1611	384918	331431
1612	385147	331183
1613	385373	330934
1614	385591	330677
1615	385847	330453
1616	386090	330218
1617	386303	329957
1618	386530	329708
1619	386789	329487
1620	387012	329234
1621	387278	329019
1622	387495	328762
1623	387744	328532
1624	387977	328288
1625	388196	328033
1626	388442	327800
1627	388683	327564
1628	388928	327329
1629	389184	327106
1630	389418	326862
1631	389630	326601
1632	389857	326353
1633	390133	326145
1634	390356	325894
1635	390608	325666
1636	390829	325412
1637	391057	325165
1638	391323	324949
1639	391592	324735
1640	391796	324467
1641	392054	324245
1642	392272	323989
1643	392507	323747
1644	392728	323494
1645	392971	323258
1646	393203	323014
1647	393431	322766
1648	393678	322534
1649	393920	322298
1650	394136	322041
1651	394378	321804
1652	394595	321548
1653	394833	321309
1654	395074	321072
1655	395308	320830
1656	395552	320595
1657	395759	320331
1658	395982	320079
1659	396197	319822
1660	396422	319572
1661	396655	319329
